"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","123","test_request_with_invalid_credentials","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","162","test_create_board_without_name","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","417","test_get_all_lists_on_board","tests","2026-08-23","passed","2026-08-23","TestTrelloLists","test_lists","",""
"","875","test_create_board_with_different_names[symbols]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","685","test_full_trello_workflow","tests","2026-08-23","passed","2026-08-23","TestTrelloWorkflow","test_boards","",""
"","95","test_board_schema_validation","tests","2026-08-23","passed","2026-08-23","TestTrelloSchema","test_schema","",""
"","965","test_create_board_with_different_names[emoji]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","1145","test_create_board_with_different_names[long_name]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","100","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-08-23","passed","2026-08-23","TestAPIPerformanceSLA","test_sla","",""
"","121","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-08-23","passed","2026-08-23","TestQueryParams","test_query_params","",""
"","944","test_create_board_with_different_names[cyrillic]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","420","test_update_board_details","tests","2026-08-23","passed","2026-08-23","TestTrelloUpdate","test_update","",""
"","834","Создание и чтение чек-листа в карточке","tests","2026-08-23","passed","2026-08-23","TestChecklists","test_checklists","",""
"","350","test_archive_list","tests","2026-08-23","passed","2026-08-23","TestTrelloLists","test_lists","",""
"","169","test_get_non_existent_board","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","282","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-08-23","passed","2026-08-23","TestAPIPerformanceSLA","test_sla","",""
"","107","test_create_board_without_auth","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","1030","test_create_board_with_different_names[english]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","420","test_list_and_card_schema_validation","tests","2026-08-23","passed","2026-08-23","TestTrelloSchema","test_schema","",""
"","1149","test_move_card_between_lists","tests","2026-08-23","passed","2026-08-23","TestTrelloUpdate","test_update","",""
