"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Параметризованные проверки Trello API","5","0","Создание досок с различными валидными названиями","0"
"0","","0","Негативные проверки Trello API","1","0","Запрос несуществующей доски","0"
"0","","0","Негативные проверки Trello API","1","0","Запрос с невалидными учётными данными","0"
"0","","0","Обновление объектов Trello (PUT)","1","0","Перемещение карточки в другой список","0"
"0","","0","Управление списками Trello","1","0","Получение списка всех колонок доски","0"
"0","","0","Схемное тестирование (Contract Testing)","1","0","Валидация структуры JSON-ответа доски","0"
"0","","0","Управление списками Trello","1","0","Архивация списка","0"
"0","","0","Обновление объектов Trello (PUT)","1","0","Изменение названия и описания доски","0"
"0","","0","Негативные проверки Trello API","1","0","Создание доски без авторизации","0"
"0","","0","Негативные проверки Trello API","1","0","Создание доски без обязательного параметра name","0"
"0","","0","Управление объектами Trello","1","0","Сквозной сценарий: Работа со списками и карточками","0"
